case,number,f_73,f_59,f_25,f_120,f_55,f_178,f_179,f_81,f_17,f_47
Case001-2,2406,0.8866037726402283,0.8346796631813049,0.8279033899307251,0.8830973505973816,0.8519945740699768,0.853655219078064,0.8981822729110718,0.8999057412147522,0.8624790906906128,0.8718984127044678
Case001-2,2561,0.8592150807380676,0.8591679334640503,0.7909339666366577,0.8430619239807129,0.8510366082191467,0.827948808670044,0.8780428171157837,0.868768036365509,0.8334243297576904,0.8288207650184631
Case001-2,2675,0.8465767502784729,0.8074628114700317,0.7953857183456421,0.8499071598052979,0.8575129508972168,0.7868442535400391,0.8696340918540955,0.8336702585220337,0.7804164290428162,0.8416739106178284
Case001-2,2730,0.8379054069519043,0.8020654320716858,0.7922561168670654,0.8424482345581055,0.8612849116325378,0.7998382449150085,0.8092650771141052,0.7938681244850159,0.7805390357971191,0.8405333161354065
Case001-2,2922,0.8393489718437195,0.8542346954345703,0.7766055464744568,0.8374096751213074,0.8857411742210388,0.8154461979866028,0.8911429643630981,0.8023427128791809,0.7975584864616394,0.8382809162139893
Case001-2,3024,0.8614625334739685,0.8051779866218567,0.7936117053031921,0.8502642512321472,0.8459137082099915,0.8424915075302124,0.8571054339408875,0.8579291701316833,0.8291385769844055,0.8446120023727417
Case001-2,3165,0.8548510670661926,0.7558618783950806,0.767859935760498,0.8423930406570435,0.8039245009422302,0.8482765555381775,0.8165313005447388,0.8178498148918152,0.8176248669624329,0.8207955360412598
Case001-2,3166,0.8760143518447876,0.8722653985023499,0.8084961175918579,0.8588694334030151,0.8526729345321655,0.877802312374115,0.8824334144592285,0.8929783701896667,0.8522374629974365,0.8364061713218689
Case001-2,3378,0.8094838261604309,0.8207129836082458,0.7445991039276123,0.8378539085388184,0.8377036452293396,0.793763279914856,0.8636831641197205,0.838407039642334,0.8075633645057678,0.8020266890525818
Case001-2,3530,0.8683022260665894,0.8664118051528931,0.8079535365104675,0.8806465864181519,0.890995979309082,0.8331496119499207,0.9358360171318054,0.8865258693695068,0.8622996807098389,0.8689175844192505
Case001-2,3737,0.8743374347686768,0.8838995099067688,0.8308396935462952,0.8780218362808228,0.8771495223045349,0.8514158725738525,0.9289481043815612,0.9135925769805908,0.8545008301734924,0.8527328372001648
Case001-2,3972,0.8193115592002869,0.7937296032905579,0.7933024764060974,0.8461921811103821,0.8360086679458618,0.8379334807395935,0.8151249289512634,0.8544944524765015,0.8459048867225647,0.8256562352180481
Case001-2,4079,0.8856797814369202,0.8990505337715149,0.829916775226593,0.9061555862426758,0.9036407470703124,0.8774724006652832,0.9267514944076538,0.9279534220695496,0.9216812252998352,0.8719229102134705
Case001-2,4160,0.8598037958145142,0.8569376468658447,0.8207781910896301,0.8879851698875427,0.8764685988426208,0.8400713801383972,0.8810851573944092,0.8775250911712646,0.8621005415916443,0.8723970651626587
Case001-2,4221,0.8397308588027954,0.821596086025238,0.8080598711967468,0.8659407496452332,0.8491259217262268,0.8412238955497742,0.8540091514587402,0.8462029099464417,0.8553146719932556,0.8623599410057068
Case001-2,4533,0.8497484922409058,0.8103647232055664,0.7331094145774841,0.8358069062232971,0.8244462013244629,0.8292286992073059,0.8009236454963684,0.7803835272789001,0.820912778377533,0.8519479036331177
Case001-2,4680,0.8090062737464905,0.7491059899330139,0.7605291604995728,0.8382080793380737,0.8450739979743958,0.835579514503479,0.8603351712226868,0.8375266790390015,0.8276260495185852,0.8333430886268616
Case001-2,4857,0.6438892483711243,0.6945715546607971,0.5578613877296448,0.7008676528930664,0.764236569404602,0.6059548854827881,0.7488179802894592,0.6350904107093811,0.690378725528717,0.7451785206794739
Case001-2,5175,0.6247580051422119,0.6254736185073853,0.5831911563873291,0.6243748068809509,0.6489084959030151,0.6278236508369446,0.6808921098709106,0.6050176024436951,0.6773606538772583,0.7020795941352844
Case001-2,5487,0.5505590438842773,0.6172224879264832,0.5912401080131531,0.6294823288917542,0.6967529058456421,0.6317840814590454,0.6920706629753113,0.601149320602417,0.633104681968689,0.7012556791305542
Case001-2,5799,0.6674602627754211,0.6919165849685669,0.6042343378067017,0.6618330478668213,0.6307421922683716,0.7467893362045288,0.561000406742096,0.4144777059555053,0.536003828048706,0.7590816617012024
Case001-2,6251,0.6699051856994629,0.616445004940033,0.6317837238311768,0.6451541781425476,0.6546527743339539,0.730728805065155,0.5252631902694702,0.4612322747707367,0.5526647567749023,0.741991400718689
Case001-2,6427,0.6767463088035583,0.7314140200614929,0.6241878271102905,0.6824015378952026,0.5696024298667908,0.7055636048316956,0.7273707389831543,0.5482417345046997,0.5893799066543579,0.7584675550460815
Case001-2,6639,0.5972870588302612,0.6249770522117615,0.5791159272193909,0.6053674221038818,0.6067116856575012,0.6415647864341736,0.5053167343139648,0.4007118344306946,0.5590617656707764,0.7219163775444031
Case001-2,7161,0.5698909759521484,0.5756521821022034,0.5264548063278198,0.5385344624519348,0.5253490805625916,0.6247843503952026,0.5017397403717041,0.4016680419445038,0.5171639323234558,0.6896470785140991
Case001-2,7343,0.7871372699737549,0.7675449252128601,0.7414287328720093,0.8250938057899475,0.8009443283081055,0.7868101596832275,0.87143474817276,0.8272468447685242,0.7477318644523621,0.7649725675582886
Case001-2,7545,0.7388238310813904,0.7073129415512085,0.633192777633667,0.735188901424408,0.8314829468727112,0.7072339653968811,0.881102442741394,0.8764529228210449,0.7948530912399292,0.7030940055847168
Case001-2,7660,0.8574244379997253,0.7879670858383179,0.793483555316925,0.8812214136123657,0.8596078753471375,0.7752085328102112,0.8956248760223389,0.8721817135810852,0.8476179242134094,0.8012948632240295
Case001-2,7862,0.7268529534339905,0.7776728272438049,0.7355465292930603,0.7689986824989319,0.8564074635505676,0.764887809753418,0.8892340064048767,0.8894884586334229,0.8879849910736084,0.7642978429794312
Case001-2,8144,0.7515302896499634,0.7297379970550537,0.6858150362968445,0.7374028563499451,0.7931018471717834,0.697418212890625,0.8161439895629883,0.8177891969680786,0.8137854337692261,0.7915757894515991
Case001-2,8386,0.884895920753479,0.8700084686279297,0.794116199016571,0.8843854665756226,0.8960200548171997,0.8276872038841248,0.9186651110649108,0.890386164188385,0.919885754585266,0.8857717514038086
Case001-2,8401,0.8800811171531677,0.8542646169662476,0.8182521462440491,0.9064927101135254,0.9044001698493958,0.8585241436958313,0.9362635016441344,0.9029746651649476,0.9029707908630372,0.8778444528579712
Case001-2,8540,0.5571001172065735,0.6466842293739319,0.5682929754257202,0.4630194902420044,0.6471966505050659,0.5452001094818115,0.6428632736206055,0.7270293831825256,0.6492383480072021,0.6320315599441528
Case001-2,8657,0.800861120223999,0.7955472469329834,0.7516548037528992,0.7946385145187378,0.8258917331695557,0.7867349982261658,0.7702353596687317,0.790740966796875,0.8009739518165588,0.7735932469367981
Case001-2,8702,0.4447223246097564,0.5962851643562317,0.5361679792404175,0.3919498026371002,0.6023359298706055,0.4609657526016235,0.5554734468460083,0.5213128328323364,0.4760913550853729,0.5395942330360413
Case002-1,206831,0.6585943102836609,0.5528075695037842,0.4364807903766632,0.7381779551506042,0.6875953078269958,0.7746086120605469,0.1841587722301483,0.5273144841194153,0.3380881249904632,0.7267070412635803
Case002-1,206852,0.6330826282501221,0.4261839687824249,0.4149840176105499,0.7160967588424683,0.4888888895511627,0.7279840111732483,0.1125769540667533,0.3503664135932922,0.2474502474069595,0.678508460521698
Case002-1,206883,0.6136971712112427,0.4609266817569732,0.4922527372837066,0.6139717102050781,0.553942859172821,0.6043246984481812,0.2033873498439788,0.4294533729553222,0.3131101727485657,0.6025850772857666
Case002-1,206919,0.5568278431892395,0.6430119872093201,0.4814316034317016,0.7948318123817444,0.6292458176612854,0.7301623225212097,0.3032199144363403,0.3300739526748657,0.3201871216297149,0.547564685344696
Case002-1,206955,0.53617924451828,0.501069188117981,0.5171465873718262,0.7212694883346558,0.6562172770500183,0.78892982006073,0.2521165311336517,0.5096703171730042,0.3017808794975281,0.6087462902069092
Case002-1,206963,0.4281893074512481,0.3267450034618377,0.3285387754440307,0.4071336686611175,0.3208010792732239,0.5270006656646729,0.3160766363143921,0.3470388650894165,0.2311846762895584,0.5134536623954773
Case002-1,207033,0.568764328956604,0.5443528890609741,0.4989483058452606,0.5228348970413208,0.5139179229736328,0.5908539295196533,0.5004857778549194,0.6134209036827087,0.4527569115161896,0.6347568035125732
Case002-1,207034,0.5586909055709839,0.585090160369873,0.5141647458076477,0.5344882607460022,0.5043854117393494,0.5744079947471619,0.4957198202610016,0.586254358291626,0.4341069459915161,0.6410055756568909
Case002-1,207239,0.289424329996109,0.3687102496623993,0.296373575925827,0.3360447883605957,0.332958459854126,0.3673631548881531,0.3653372824192047,0.3807441592216491,0.2420681565999984,0.4250873029232025
Case002-1,207240,0.2701337337493896,0.2953120470046997,0.238834336400032,0.2589015662670135,0.2755902707576751,0.3283085525035858,0.2655743360519409,0.3508567810058594,0.2103265225887298,0.3361911475658417
Case002-1,207332,0.5794983506202698,0.6033555865287781,0.5207113027572632,0.5548016428947449,0.4861393570899963,0.5505902171134949,0.5664991736412048,0.5345116853713989,0.3649146258831024,0.637418270111084
Case002-1,207383,0.2421213537454605,0.2934939265251159,0.2466273009777069,0.2608886659145355,0.2681815028190613,0.3429389297962188,0.2805009484291076,0.2545380294322967,0.2031863182783126,0.3798846006393432
Case002-1,207384,0.2513474822044372,0.2889930605888366,0.2260394543409347,0.2539430856704712,0.2603502869606018,0.3338873088359833,0.3004047870635986,0.2421604245901107,0.2178083956241607,0.3281399011611938
Case002-1,207744,0.4508807063102722,0.1564335227012634,0.2157783508300781,0.3375113308429718,0.2575394213199615,0.4459492266178131,0.1572527438402176,0.1164695173501968,0.086696058511734,0.4870616793632507
Case002-1,209020,0.3095341622829437,0.2516650855541229,0.2257041186094284,0.4356549084186554,0.5046747326850891,0.4937778115272522,0.6026257872581482,0.3236836493015289,0.2705382406711578,0.3206076025962829
Case002-1,209045,0.6166607141494751,0.5201526284217834,0.4894390404224396,0.5899536609649658,0.7495882511138916,0.7331258654594421,0.5982341170310974,0.4993154406547546,0.5236536264419556,0.5978149771690369
Case002-1,209070,0.7277104258537292,0.666217029094696,0.6235576868057251,0.6613360643386841,0.7182269096374512,0.7866007089614868,0.6574289798736572,0.6275510191917419,0.6159601211547852,0.7173930406570435
Case002-1,209088,0.6017792224884033,0.5160622596740723,0.528607964515686,0.5287253260612488,0.633927583694458,0.697258710861206,0.5380108952522278,0.4951297044754028,0.4894091486930847,0.5988060235977173
Case002-1,209123,0.2690419554710388,0.2131276279687881,0.1873297542333603,0.326435774564743,0.2904211580753326,0.4514322876930237,0.4294898509979248,0.170278400182724,0.1527934223413467,0.3061434924602508
Case002-1,209136,0.5615120530128479,0.5782901048660278,0.590971827507019,0.6249592900276184,0.6093337535858154,0.7029796242713928,0.6094796061515808,0.5666558146476746,0.5541019439697266,0.6203078031539917
Case002-1,209155,0.5200960636138916,0.4999229609966278,0.5836299061775208,0.6532026529312134,0.6774518489837646,0.7452534437179565,0.7065398097038269,0.5285155773162842,0.5535593032836914,0.5851132869720459
Case002-1,209192,0.3467821776866913,0.3834447860717773,0.3821244835853576,0.4480335712432861,0.5018981695175171,0.5241641998291016,0.5731693506240845,0.349274218082428,0.3658186495304107,0.3551630973815918
Case002-1,209198,0.1709652692079544,0.2732253074645996,0.308211475610733,0.2916266918182373,0.3480817675590515,0.3655352592468261,0.4031840860843658,0.3186334371566772,0.4648386538028717,0.1848752349615097
Case002-1,209229,0.2329842895269394,0.3193069398403168,0.2384011447429657,0.3526906073093414,0.4343076348304748,0.4548959136009216,0.3501253724098205,0.1186473444104194,0.2414120286703109,0.2663985192775726
Case002-1,209241,0.2741762995719909,0.2214889675378799,0.2272119224071502,0.4028268456459045,0.3826714754104614,0.4454847276210785,0.4649050235748291,0.2433345913887024,0.1666274964809417,0.3134399652481079
Case002-1,209302,0.2671066522598266,0.2525752782821655,0.1800208091735839,0.3086743056774139,0.3124052584171295,0.3768831789493561,0.3026188313961029,0.1379424184560775,0.1369069814682006,0.2491849064826965
Case002-1,209367,0.528141438961029,0.5057857632637024,0.3772299289703369,0.5748253464698792,0.5707625150680542,0.6016260385513306,0.5417560935020447,0.461981326341629,0.387555330991745,0.5455437302589417
Case002-1,209469,0.6218717694282532,0.6649996042251587,0.6354076862335205,0.6724688410758972,0.670153796672821,0.6924899220466614,0.755683958530426,0.6406189799308777,0.6554434895515442,0.6284948587417603
Case002-1,209495,0.3682076930999756,0.4491700828075409,0.3423137962818146,0.4259571135044098,0.4248485267162323,0.4729396104812622,0.6291424632072449,0.4791020452976227,0.3918632566928863,0.3949960172176361
Case002-1,209908,0.5489110946655273,0.553209662437439,0.5878058075904846,0.6002284288406372,0.5215224027633667,0.5863264799118042,0.7623445391654968,0.6897101402282715,0.5571333169937134,0.5149021148681641
Case002-1,210568,0.1174366176128387,0.1675915718078613,0.1348695904016494,0.3071602880954742,0.1891756504774093,0.2550675570964813,0.5644859671592712,0.2944617867469787,0.2380952388048172,0.1078956797719001
Case002-1,210608,0.311004102230072,0.3827784657478332,0.3672127425670624,0.4169566631317138,0.3687951266765594,0.3717123866081238,0.6513565182685852,0.552620530128479,0.4423709511756897,0.2708701491355896
Case002-1,210928,0.6728891730308533,0.724237859249115,0.6993342041969299,0.8212324380874634,0.7590354084968567,0.7564326524734497,0.857365071773529,0.8401751518249512,0.7515808343887329,0.6201124787330627
Case002-1,210941,0.6668019890785217,0.7317468523979187,0.7315238118171692,0.7686077356338501,0.7191995978355408,0.7850692868232727,0.723311722278595,0.7842397093772888,0.6991111040115356,0.6516984701156616
Case002-1,210977,0.6561439037322998,0.6253132820129395,0.6257732510566711,0.6587752103805542,0.6701953411102295,0.6758356690406799,0.7178774476051331,0.6796762943267822,0.6407908201217651,0.6348261833190918
